index	P(0)	P(1)	P(2)
0	0.5	0.12500001	0
1	0.5	0.062500015	-0.108253166
2	0.5	-0.062499974	-0.108253166
3	0.5	-0.12499998	0
4	0.5	-0.062499993	0.10825316
5	0.5	0.062500015	0.108253166
6	0.3888889	0.12500001	0
7	0.3888889	0.062500015	-0.108253166
8	0.3888889	-0.062499978	-0.108253166
9	0.3888889	-0.124999985	0
10	0.3888889	-0.062499996	0.10825316
11	0.3888889	0.062500015	0.108253166
12	0.2777778	0.12500001	0
13	0.2777778	0.06250001	-0.108253166
14	0.2777778	-0.062499985	-0.108253166
15	0.2777778	-0.124999985	0
16	0.2777778	-0.0625	0.10825316
17	0.2777778	0.06250001	0.108253166
18	0.16666666	0.125	0
19	0.16666666	0.0625	-0.108253166
20	0.16666666	-0.06249999	-0.108253166
21	0.16666666	-0.12499999	0
22	0.16666666	-0.06250001	0.10825316
23	0.16666666	0.0625	0.108253166
24	0.05555555	0.125	0
25	0.05555555	0.0625	-0.108253166
26	0.055555556	-0.062499993	-0.108253166
27	0.055555556	-0.125	0
28	0.055555556	-0.062500015	0.10825316
29	0.05555555	0.0625	0.108253166
30	-0.055555586	0.125	0
31	-0.055555586	0.062499993	-0.108253166
32	-0.05555558	-0.0625	-0.108253166
33	-0.05555558	-0.125	0
34	-0.05555558	-0.062500015	0.10825316
35	-0.055555586	0.062499993	0.108253166
36	-0.16666669	0.12499999	0
37	-0.16666669	0.06249999	-0.108253166
38	-0.16666669	-0.0625	-0.108253166
39	-0.16666669	-0.125	0
40	-0.16666669	-0.06250002	0.10825316
41	-0.16666669	0.06249999	0.108253166
42	-0.2777778	0.124999985	0
43	-0.2777778	0.062499985	-0.108253166
44	-0.2777778	-0.06250001	-0.108253166
45	-0.2777778	-0.12500001	0
46	-0.2777778	-0.06250003	0.10825316
47	-0.2777778	0.062499985	0.108253166
48	-0.3888889	0.124999985	0
49	-0.3888889	0.062499978	-0.108253166
50	-0.3888889	-0.062500015	-0.108253166
51	-0.3888889	-0.12500001	0
52	-0.3888889	-0.06250003	0.10825316
53	-0.3888889	0.062499978	0.108253166
54	-0.5	0.12499998	0
55	-0.5	0.062499974	-0.108253166
56	-0.5	-0.062500015	-0.108253166
57	-0.5	-0.12500001	0
58	-0.5	-0.06250004	0.10825316
59	-0.5	0.062499974	0.108253166
