index	prim:vindex	pindex	N(0)	N(1)	N(2)	Tex(0)	Tex(1)	Tex(2)
0	0:0	0	-4.371139e-8	1	0	0	0	0
1	0:1	1	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0	0
2	0:2	7	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.11111111	0
3	0:3	6	-4.371139e-8	1	0	0	0.11111111	0
4	1:0	1	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0	0
5	1:1	2	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0	0
6	1:2	8	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0.11111111	0
7	1:3	7	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.11111111	0
8	2:0	2	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0	0
9	2:1	3	4.371139e-8	-1	0	0.5	0	0
10	2:2	9	4.371139e-8	-1	0	0.5	0.11111111	0
11	2:3	8	2.1855692e-8	-0.49999997	-0.8660253	0.33333334	0.11111111	0
12	3:0	3	4.371139e-8	-1	0	0.5	0	0
13	3:1	4	2.18557e-8	-0.5000001	0.86602527	0.6666667	0	0
14	3:2	10	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.11111111	0
15	3:3	9	4.371139e-8	-1	0	0.5	0.11111111	0
16	4:0	4	2.18557e-8	-0.5000001	0.86602527	0.6666667	0	0
17	4:1	5	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0	0
18	4:2	11	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.11111111	0
19	4:3	10	2.18557e-8	-0.5000001	0.86602527	0.6666667	0.11111111	0
20	5:0	5	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0	0
21	5:1	0	-4.371139e-8	1	0	1	0	0
22	5:2	6	-4.371139e-8	1	0	1	0.11111111	0
23	5:3	11	-2.1855692e-8	0.49999997	0.8660253	0.8333334	0.11111111	0
24	6:0	6	-4.371139e-8	1	0	0	0.11111111	0
25	6:1	7	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.11111111	0
26	6:2	13	-2.1855692e-8	0.49999997	-0.8660253	0.16666667	0.22222222	0
27	6:3	12	-4.371139e-8	1	0	0	0.22222222	0
