index,pindex,N(0),N(1),N(2),Tex(0),Tex(1),Tex(2)
0,0,-0.8879715766595125,0.45989833555343446,0.0,0.0,0.0,0.0
1,1,-0.8203787651275006,0.4248906592538259,0.3826834323650898,0.0625,0.0,0.0
2,2,-0.6278907233568516,0.3251972317262398,0.7071067811865476,0.125,0.0,0.0
3,3,-0.33981201079870277,0.17599547358858011,0.9238795325112867,0.1875,0.0,0.0
4,4,-5.437257745449503e-17,2.8160651228435444e-17,1.0,0.25,0.0,0.0
5,5,0.33981201079870266,-0.1759954735885801,0.9238795325112867,0.3125,0.0,0.0
6,6,0.6278907233568515,-0.32519723172623977,0.7071067811865476,0.375,0.0,0.0
7,7,0.8203787651275006,-0.4248906592538259,0.3826834323650899,0.4375,0.0,0.0
8,8,0.8879715766595125,-0.45989833555343446,1.2246467991473532e-16,0.5,0.0,0.0
9,9,0.8203787651275007,-0.42489065925382596,-0.38268343236508967,0.5625,0.0,0.0
10,10,0.6278907233568517,-0.3251972317262399,-0.7071067811865475,0.625,0.0,0.0
11,11,0.3398120107987032,-0.17599547358858036,-0.9238795325112865,0.6875,0.0,0.0
12,12,1.6311773236348507e-16,-8.448195368530633e-17,-1.0,0.75,0.0,0.0
13,13,-0.3398120107987029,0.1759954735885802,-0.9238795325112866,0.8125,0.0,0.0
14,14,-0.6278907233568514,0.3251972317262397,-0.7071067811865477,0.875,0.0,0.0
15,15,-0.8203787651275004,0.4248906592538258,-0.3826834323650904,0.9375,0.0,0.0
16,16,-0.884786320682298,0.46599696000454954,0.0,0.0,0.045454545454545456,0.0
17,17,-0.817435972324343,0.430525053560684,0.3826834323650898,0.0625,0.045454545454545456,0.0
18,18,-0.6256384072555482,0.3295096104315334,0.7071067811865476,0.125,0.045454545454545456,0.0
19,19,-0.33859306610838086,0.1783293161262385,0.9238795325112867,0.1875,0.045454545454545456,0.0
20,20,-5.4177536777646996e-17,2.853408427409844e-17,1.0,0.25,0.045454545454545456,0.0
21,21,0.3385930661083808,-0.17832931612623845,0.9238795325112867,0.3125,0.045454545454545456,0.0
22,22,0.6256384072555481,-0.3295096104315333,0.7071067811865476,0.375,0.045454545454545456,0.0
23,23,0.817435972324343,-0.430525053560684,0.3826834323650899,0.4375,0.045454545454545456,0.0
24,24,0.884786320682298,-0.46599696000454954,1.2246467991473532e-16,0.5,0.045454545454545456,0.0
25,25,0.8174359723243431,-0.43052505356068405,-0.38268343236508967,0.5625,0.045454545454545456,0.0
26,26,0.6256384072555483,-0.32950961043153343,-0.7071067811865475,0.625,0.045454545454545456,0.0
27,27,0.3385930661083813,-0.17832931612623873,-0.9238795325112865,0.6875,0.045454545454545456,0.0
28,28,1.6253261033294096e-16,-8.560225282229531e-17,-1.0,0.75,0.045454545454545456,0.0
29,29,-0.338593066108381,0.1783293161262386,-0.9238795325112866,0.8125,0.045454545454545456,0.0
30,30,-0.625638407255548,0.32950961043153326,-0.7071067811865477,0.875,0.045454545454545456,0.0
31,31,-0.8174359723243427,0.43052505356068393,-0.3826834323650904,0.9375,0.045454545454545456,0.0
32,32,-0.8802709671262543,0.474471310444171,0.0,0.0,0.09090909090909091,0.0
33,33,-0.8132643295918621,0.43835433248317834,0.3826834323650898,0.0625,0.09090909090909091,0.0
34,34,-0.622445570136615,0.3355018810935409,0.7071067811865476,0.125,0.09090909090909091,0.0
35,35,-0.33686511511121214,0.18157230963953747,0.9238795325112867,0.1875,0.09090909090909091,0.0
36,36,-5.3901051113675616e-17,2.905298858113521e-17,1.0,0.25,0.09090909090909091,0.0
37,37,0.33686511511121203,-0.1815723096395374,0.9238795325112867,0.3125,0.09090909090909091,0.0
38,38,0.6224455701366148,-0.33550188109354084,0.7071067811865476,0.375,0.09090909090909091,0.0
39,39,0.8132643295918621,-0.43835433248317834,0.3826834323650899,0.4375,0.09090909090909091,0.0
40,40,0.8802709671262543,-0.474471310444171,1.2246467991473532e-16,0.5,0.09090909090909091,0.0
41,41,0.8132643295918621,-0.43835433248317834,-0.38268343236508967,0.5625,0.09090909090909091,0.0
