index,type,vertices
0,quad,0 1 17 16
1,quad,1 2 18 17
2,quad,2 3 19 18
3,quad,3 4 20 19
4,quad,4 5 21 20
5,quad,5 6 22 21
6,quad,6 7 23 22
7,quad,7 8 24 23
8,quad,8 9 25 24
9,quad,9 10 26 25
10,quad,10 11 27 26
11,quad,11 12 28 27
12,quad,12 13 29 28
13,quad,13 14 30 29
14,quad,14 15 31 30
15,quad,15 0 16 31
16,quad,16 17 33 32
17,quad,17 18 34 33
18,quad,18 19 35 34
19,quad,19 20 36 35
20,quad,20 21 37 36
21,quad,21 22 38 37
22,quad,22 23 39 38
23,quad,23 24 40 39
24,quad,24 25 41 40
25,quad,25 26 42 41
26,quad,26 27 43 42
27,quad,27 28 44 43
28,quad,28 29 45 44
29,quad,29 30 46 45
30,quad,30 31 47 46
31,quad,31 16 32 47
32,quad,32 33 49 48
33,quad,33 34 50 49
34,quad,34 35 51 50
35,quad,35 36 52 51
36,quad,36 37 53 52
37,quad,37 38 54 53
38,quad,38 39 55 54
39,quad,39 40 56 55
40,quad,40 41 57 56
41,quad,41 42 58 57
42,quad,42 43 59 58
43,quad,43 44 60 59
44,quad,44 45 61 60
45,quad,45 46 62 61
46,quad,46 47 63 62
47,quad,47 32 48 63
48,quad,48 49 65 64
49,quad,49 50 66 65
50,quad,50 51 67 66
51,quad,51 52 68 67
52,quad,52 53 69 68
53,quad,53 54 70 69
54,quad,54 55 71 70
55,quad,55 56 72 71
56,quad,56 57 73 72
57,quad,57 58 74 73
58,quad,58 59 75 74
59,quad,59 60 76 75
60,quad,60 61 77 76
61,quad,61 62 78 77
62,quad,62 63 79 78
63,quad,63 48 64 79
64,quad,64 65 81 80
65,quad,65 66 82 81
66,quad,66 67 83 82
67,quad,67 68 84 83
68,quad,68 69 85 84
69,quad,69 70 86 85
70,quad,70 71 87 86
71,quad,71 72 88 87
72,quad,72 73 89 88
73,quad,73 74 90 89
74,quad,74 75 91 90
75,quad,75 76 92 91
76,quad,76 77 93 92
77,quad,77 78 94 93
78,quad,78 79 95 94
79,quad,79 64 80 95
80,quad,80 81 97 96
81,quad,81 82 98 97
82,quad,82 83 99 98
83,quad,83 84 100 99
84,quad,84 85 101 100
85,quad,85 86 102 101
86,quad,86 87 103 102
87,quad,87 88 104 103
88,quad,88 89 105 104
89,quad,89 90 106 105
90,quad,90 91 107 106
91,quad,91 92 108 107
92,quad,92 93 109 108
93,quad,93 94 110 109
94,quad,94 95 111 110
95,quad,95 80 96 111
96,quad,96 97 113 112
97,quad,97 98 114 113
98,quad,98 99 115 114
99,quad,99 100 116 115
100,quad,100 101 117 116
101,quad,101 102 118 117
102,quad,102 103 119 118
103,quad,103 104 120 119
104,quad,104 105 121 120
105,quad,105 106 122 121
106,quad,106 107 123 122
107,quad,107 108 124 123
108,quad,108 109 125 124
109,quad,109 110 126 125
110,quad,110 111 127 126
111,quad,111 96 112 127
112,quad,112 113 129 128
113,quad,113 114 130 129
114,quad,114 115 131 130
115,quad,115 116 132 131
116,quad,116 117 133 132
117,quad,117 118 134 133
118,quad,118 119 135 134
119,quad,119 120 136 135
120,quad,120 121 137 136
121,quad,121 122 138 137
122,quad,122 123 139 138
123,quad,123 124 140 139
124,quad,124 125 141 140
125,quad,125 126 142 141
126,quad,126 127 143 142
127,quad,127 112 128 143
128,quad,128 129 145 144
129,quad,129 130 146 145
130,quad,130 131 147 146
131,quad,131 132 148 147
132,quad,132 133 149 148
133,quad,133 134 150 149
134,quad,134 135 151 150
135,quad,135 136 152 151
136,quad,136 137 153 152
137,quad,137 138 154 153
138,quad,138 139 155 154
139,quad,139 140 156 155
140,quad,140 141 157 156
141,quad,141 142 158 157
142,quad,142 143 159 158
143,quad,143 128 144 159
144,quad,144 145 161 160
145,quad,145 146 162 161
146,quad,146 147 163 162
147,quad,147 148 164 163
148,quad,148 149 165 164
149,quad,149 150 166 165
150,quad,150 151 167 166
151,quad,151 152 168 167
152,quad,152 153 169 168
153,quad,153 154 170 169
154,quad,154 155 171 170
155,quad,155 156 172 171
156,quad,156 157 173 172
157,quad,157 158 174 173
158,quad,158 159 175 174
159,quad,159 144 160 175
160,quad,160 161 177 176
161,quad,161 162 178 177
162,quad,162 163 179 178
163,quad,163 164 180 179
164,quad,164 165 181 180
165,quad,165 166 182 181
166,quad,166 167 183 182
167,quad,167 168 184 183
168,quad,168 169 185 184
169,quad,169 170 186 185
170,quad,170 171 187 186
171,quad,171 172 188 187
172,quad,172 173 189 188
173,quad,173 174 190 189
174,quad,174 175 191 190
175,quad,175 160 176 191
176,quad,176 177 193 192
177,quad,177 178 194 193
178,quad,178 179 195 194
179,quad,179 180 196 195
180,quad,180 181 197 196
181,quad,181 182 198 197
182,quad,182 183 199 198
183,quad,183 184 200 199
184,quad,184 185 201 200
185,quad,185 186 202 201
186,quad,186 187 203 202
187,quad,187 188 204 203
188,quad,188 189 205 204
189,quad,189 190 206 205
190,quad,190 191 207 206
191,quad,191 176 192 207
192,quad,192 193 209 208
193,quad,193 194 210 209
194,quad,194 195 211 210
195,quad,195 196 212 211
196,quad,196 197 213 212
197,quad,197 198 214 213
198,quad,198 199 215 214
199,quad,199 200 216 215
200,quad,200 201 217 216
201,quad,201 202 218 217
202,quad,202 203 219 218
203,quad,203 204 220 219
204,quad,204 205 221 220
205,quad,205 206 222 221
