index,type,vertices
0,quad,0 1 7 6
1,quad,1 2 8 7
2,quad,2 3 9 8
3,quad,3 4 10 9
4,quad,4 5 11 10
5,quad,5 0 6 11
6,quad,6 7 13 12
7,quad,7 8 14 13
8,quad,8 9 15 14
9,quad,9 10 16 15
10,quad,10 11 17 16
11,quad,11 6 12 17
12,quad,12 13 19 18
13,quad,13 14 20 19
14,quad,14 15 21 20
15,quad,15 16 22 21
16,quad,16 17 23 22
17,quad,17 12 18 23
18,quad,18 19 25 24
19,quad,19 20 26 25
20,quad,20 21 27 26
21,quad,21 22 28 27
22,quad,22 23 29 28
23,quad,23 18 24 29
24,quad,24 25 31 30
25,quad,25 26 32 31
26,quad,26 27 33 32
27,quad,27 28 34 33
28,quad,28 29 35 34
29,quad,29 24 30 35
30,quad,30 31 37 36
31,quad,31 32 38 37
32,quad,32 33 39 38
33,quad,33 34 40 39
34,quad,34 35 41 40
35,quad,35 30 36 41
36,quad,36 37 43 42
37,quad,37 38 44 43
38,quad,38 39 45 44
39,quad,39 40 46 45
40,quad,40 41 47 46
41,quad,41 36 42 47
42,quad,42 43 49 48
43,quad,43 44 50 49
44,quad,44 45 51 50
45,quad,45 46 52 51
46,quad,46 47 53 52
47,quad,47 42 48 53
48,quad,48 49 55 54
49,quad,49 50 56 55
50,quad,50 51 57 56
51,quad,51 52 58 57
52,quad,52 53 59 58
53,quad,53 48 54 59
54,quad,54 55 61 60
55,quad,55 56 62 61
56,quad,56 57 63 62
57,quad,57 58 64 63
58,quad,58 59 65 64
59,quad,59 54 60 65
60,quad,60 61 67 66
61,quad,61 62 68 67
62,quad,62 63 69 68
63,quad,63 64 70 69
64,quad,64 65 71 70
65,quad,65 60 66 71
66,quad,66 67 73 72
67,quad,67 68 74 73
68,quad,68 69 75 74
69,quad,69 70 76 75
70,quad,70 71 77 76
71,quad,71 66 72 77
72,quad,72 73 79 78
73,quad,73 74 80 79
74,quad,74 75 81 80
75,quad,75 76 82 81
76,quad,76 77 83 82
77,quad,77 72 78 83
78,quad,78 79 85 84
79,quad,79 80 86 85
80,quad,80 81 87 86
81,quad,81 82 88 87
82,quad,82 83 89 88
83,quad,83 78 84 89
84,quad,84 85 91 90
85,quad,85 86 92 91
86,quad,86 87 93 92
87,quad,87 88 94 93
88,quad,88 89 95 94
89,quad,89 84 90 95
90,quad,90 91 97 96
91,quad,91 92 98 97
92,quad,92 93 99 98
93,quad,93 94 100 99
94,quad,94 95 101 100
95,quad,95 90 96 101
96,quad,96 97 103 102
97,quad,97 98 104 103
98,quad,98 99 105 104
99,quad,99 100 106 105
100,quad,100 101 107 106
101,quad,101 96 102 107
102,quad,102 103 109 108
103,quad,103 104 110 109
104,quad,104 105 111 110
105,quad,105 106 112 111
106,quad,106 107 113 112
107,quad,107 102 108 113
108,quad,108 109 115 114
109,quad,109 110 116 115
110,quad,110 111 117 116
111,quad,111 112 118 117
112,quad,112 113 119 118
113,quad,113 108 114 119
114,quad,114 115 121 120
115,quad,115 116 122 121
116,quad,116 117 123 122
117,quad,117 118 124 123
118,quad,118 119 125 124
119,quad,119 114 120 125
120,quad,120 121 127 126
121,quad,121 122 128 127
122,quad,122 123 129 128
123,quad,123 124 130 129
124,quad,124 125 131 130
125,quad,125 120 126 131
126,quad,126 127 133 132
127,quad,127 128 134 133
128,quad,128 129 135 134
129,quad,129 130 136 135
130,quad,130 131 137 136
131,quad,131 126 132 137
132,quad,132 133 139 138
133,quad,133 134 140 139
134,quad,134 135 141 140
135,quad,135 136 142 141
136,quad,136 137 143 142
137,quad,137 132 138 143
138,quad,138 139 145 144
139,quad,139 140 146 145
140,quad,140 141 147 146
141,quad,141 142 148 147
142,quad,142 143 149 148
143,quad,143 138 144 149
144,quad,144 145 151 150
145,quad,145 146 152 151
146,quad,146 147 153 152
147,quad,147 148 154 153
148,quad,148 149 155 154
149,quad,149 144 150 155
150,quad,150 151 157 156
151,quad,151 152 158 157
152,quad,152 153 159 158
153,quad,153 154 160 159
154,quad,154 155 161 160
155,quad,155 150 156 161
156,quad,156 157 163 162
157,quad,157 158 164 163
158,quad,158 159 165 164
159,quad,159 160 166 165
160,quad,160 161 167 166
161,quad,161 156 162 167
162,quad,162 163 169 168
163,quad,163 164 170 169
164,quad,164 165 171 170
165,quad,165 166 172 171
166,quad,166 167 173 172
167,quad,167 162 168 173
168,quad,168 169 175 174
169,quad,169 170 176 175
170,quad,170 171 177 176
171,quad,171 172 178 177
172,quad,172 173 179 178
173,quad,173 168 174 179
174,quad,174 175 181 180
175,quad,175 176 182 181
176,quad,176 177 183 182
177,quad,177 178 184 183
178,quad,178 179 185 184
179,quad,179 174 180 185
180,quad,180 181 187 186
181,quad,181 182 188 187
182,quad,182 183 189 188
183,quad,183 184 190 189
184,quad,184 185 191 190
185,quad,185 180 186 191
186,quad,186 187 193 192
187,quad,187 188 194 193
188,quad,188 189 195 194
189,quad,189 190 196 195
190,quad,190 191 197 196
191,quad,191 186 192 197
192,quad,192 193 199 198
193,quad,193 194 200 199
194,quad,194 195 201 200
195,quad,195 196 202 201
196,quad,196 197 203 202
197,quad,197 192 198 203
198,quad,198 199 205 204
199,quad,199 200 206 205
200,quad,200 201 207 206
201,quad,201 202 208 207
202,quad,202 203 209 208
203,quad,203 198 204 209
204,quad,204 205 211 210
205,quad,205 206 212 211
206,quad,206 207 213 212
207,quad,207 208 214 213
208,quad,208 209 215 214
209,quad,209 204 210 215
210,quad,210 211 217 216
211,quad,211 212 218 217
212,quad,212 213 219 218
213,quad,213 214 220 219
214,quad,214 215 221 220
215,quad,215 210 216 221
216,quad,216 217 223 222
217,quad,217 218 224 223
218,quad,218 219 225 224
219,quad,219 220 226 225
220,quad,220 221 227 226
221,quad,221 216 222 227
222,quad,222 223 229 228
223,quad,223 224 230 229
224,quad,224 225 231 230
225,quad,225 226 232 231
226,quad,226 227 233 232
227,quad,227 222 228 233
228,quad,228 229 235 234
229,quad,229 230 236 235
230,quad,230 231 237 236
231,quad,231 232 238 237
232,quad,232 233 239 238
233,quad,233 228 234 239
234,quad,234 235 241 240
235,quad,235 236 242 241
236,quad,236 237 243 242
237,quad,237 238 244 243
238,quad,238 239 245 244
239,quad,239 234 240 245
240,quad,240 241 247 246
241,quad,241 242 248 247
242,quad,242 243 249 248
243,quad,243 244 250 249
244,quad,244 245 251 250
245,quad,245 240 246 251
246,quad,246 247 253 252
247,quad,247 248 254 253
248,quad,248 249 255 254
249,quad,249 250 256 255
250,quad,250 251 257 256
251,quad,251 246 252 257
252,quad,252 253 259 258
253,quad,253 254 260 259
254,quad,254 255 261 260
255,quad,255 256 262 261
256,quad,256 257 263 262
257,quad,257 252 258 263
258,quad,258 259 265 264
259,quad,259 260 266 265
260,quad,260 261 267 266
261,quad,261 262 268 267
262,quad,262 263 269 268
263,quad,263 258 264 269
264,quad,264 265 271 270
265,quad,265 266 272 271
266,quad,266 267 273 272
267,quad,267 268 274 273
268,quad,268 269 275 274
269,quad,269 264 270 275
270,quad,270 271 277 276
271,quad,271 272 278 277
272,quad,272 273 279 278
273,quad,273 274 280 279
274,quad,274 275 281 280
275,quad,275 270 276 281
276,quad,276 277 283 282
277,quad,277 278 284 283
278,quad,278 279 285 284
279,quad,279 280 286 285
280,quad,280 281 287 286
281,quad,281 276 282 287
282,quad,282 283 289 288
283,quad,283 284 290 289
284,quad,284 285 291 290
285,quad,285 286 292 291
286,quad,286 287 293 292
287,quad,287 282 288 293
288,quad,288 289 295 294
289,quad,289 290 296 295
290,quad,290 291 297 296
291,quad,291 292 298 297
292,quad,292 293 299 298
293,quad,293 288 294 299
294,quad,294 295 301 300
295,quad,295 296 302 301
296,quad,296 297 303 302
297,quad,297 298 304 303
298,quad,298 299 305 304
299,quad,299 294 300 305
300,quad,300 301 307 306
301,quad,301 302 308 307
302,quad,302 303 309 308
303,quad,303 304 310 309
304,quad,304 305 311 310
305,quad,305 300 306 311
306,quad,306 307 313 312
307,quad,307 308 314 313
308,quad,308 309 315 314
309,quad,309 310 316 315
310,quad,310 311 317 316
311,quad,311 306 312 317
312,quad,312 313 319 318
313,quad,313 314 320 319
314,quad,314 315 321 320
315,quad,315 316 322 321
316,quad,316 317 323 322
317,quad,317 312 318 323
318,quad,318 319 325 324
319,quad,319 320 326 325
320,quad,320 321 327 326
321,quad,321 322 328 327
322,quad,322 323 329 328
323,quad,323 318 324 329
324,quad,324 325 331 330
325,quad,325 326 332 331
326,quad,326 327 333 332
327,quad,327 328 334 333
328,quad,328 329 335 334
329,quad,329 324 330 335
330,quad,330 331 337 336
331,quad,331 332 338 337
332,quad,332 333 339 338
333,quad,333 334 340 339
334,quad,334 335 341 340
335,quad,335 330 336 341
336,quad,336 337 343 342
337,quad,337 338 344 343
338,quad,338 339 345 344
339,quad,339 340 346 345
340,quad,340 341 347 346
341,quad,341 336 342 347
342,quad,342 343 349 348
343,quad,343 344 350 349
344,quad,344 345 351 350
345,quad,345 346 352 351
346,quad,346 347 353 352
347,quad,347 342 348 353
348,quad,348 349 355 354
349,quad,349 350 356 355
350,quad,350 351 357 356
351,quad,351 352 358 357
352,quad,352 353 359 358
353,quad,353 348 354 359
354,quad,354 355 361 360
355,quad,355 356 362 361
356,quad,356 357 363 362
357,quad,357 358 364 363
358,quad,358 359 365 364
359,quad,359 354 360 365
360,quad,360 361 367 366
361,quad,361 362 368 367
362,quad,362 363 369 368
363,quad,363 364 370 369
364,quad,364 365 371 370
365,quad,365 360 366 371
366,quad,366 367 373 372
367,quad,367 368 374 373
368,quad,368 369 375 374
369,quad,369 370 376 375
370,quad,370 371 377 376
371,quad,371 366 372 377
372,quad,372 373 379 378
373,quad,373 374 380 379
374,quad,374 375 381 380
375,quad,375 376 382 381
376,quad,376 377 383 382
