index,pindex,N(0),N(1),N(2),Tex(0),Tex(1),Tex(2)
0,0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.0,0.0
2,2,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,0.0,0.0
3,3,0.0,-1.0,-1.2246467991473532e-16,0.5,0.0,0.0
4,4,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.0,0.0
5,5,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.0,0.0
6,6,0.0,1.0,0.0,0.0,0.1111111111111111,0.0
7,7,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.1111111111111111,0.0
8,8,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,0.1111111111111111,0.0
9,9,0.0,-1.0,-1.2246467991473532e-16,0.5,0.1111111111111111,0.0
10,10,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.1111111111111111,0.0
11,11,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.1111111111111111,0.0
12,12,0.0,1.0,0.0,0.0,0.2222222222222222,0.0
13,13,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.2222222222222222,0.0
14,14,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,0.2222222222222222,0.0
15,15,0.0,-1.0,-1.2246467991473532e-16,0.5,0.2222222222222222,0.0
16,16,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.2222222222222222,0.0
17,17,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.2222222222222222,0.0
18,18,0.0,1.0,0.0,0.0,0.3333333333333333,0.0
19,19,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.3333333333333333,0.0
20,20,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,0.3333333333333333,0.0
21,21,0.0,-1.0,-1.2246467991473532e-16,0.5,0.3333333333333333,0.0
22,22,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.3333333333333333,0.0
23,23,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.3333333333333333,0.0
24,24,0.0,1.0,0.0,0.0,0.4444444444444444,0.0
25,25,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.4444444444444444,0.0
26,26,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,0.4444444444444444,0.0
27,27,0.0,-1.0,-1.2246467991473532e-16,0.5,0.4444444444444444,0.0
28,28,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.4444444444444444,0.0
29,29,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.4444444444444444,0.0
30,30,0.0,1.0,0.0,0.0,0.5555555555555556,0.0
31,31,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.5555555555555556,0.0
32,32,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,0.5555555555555556,0.0
33,33,0.0,-1.0,-1.2246467991473532e-16,0.5,0.5555555555555556,0.0
34,34,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.5555555555555556,0.0
35,35,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.5555555555555556,0.0
36,36,0.0,1.0,0.0,0.0,0.6666666666666666,0.0
37,37,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.6666666666666666,0.0
38,38,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,0.6666666666666666,0.0
39,39,0.0,-1.0,-1.2246467991473532e-16,0.5,0.6666666666666666,0.0
40,40,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.6666666666666666,0.0
41,41,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.6666666666666666,0.0
42,42,0.0,1.0,0.0,0.0,0.7777777777777778,0.0
43,43,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.7777777777777778,0.0
44,44,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,0.7777777777777778,0.0
45,45,0.0,-1.0,-1.2246467991473532e-16,0.5,0.7777777777777778,0.0
46,46,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.7777777777777778,0.0
47,47,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.7777777777777778,0.0
48,48,0.0,1.0,0.0,0.0,0.8888888888888888,0.0
49,49,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,0.8888888888888888,0.0
50,50,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,0.8888888888888888,0.0
51,51,0.0,-1.0,-1.2246467991473532e-16,0.5,0.8888888888888888,0.0
52,52,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,0.8888888888888888,0.0
53,53,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,0.8888888888888888,0.0
54,54,0.0,1.0,0.0,0.0,1.0,0.0
55,55,0.0,0.5000000000000001,-0.8660254037844386,0.16666666666666666,1.0,0.0
56,56,0.0,-0.4999999999999998,-0.8660254037844387,0.3333333333333333,1.0,0.0
57,57,0.0,-1.0,-1.2246467991473532e-16,0.5,1.0,0.0
58,58,-0.0,-0.5000000000000004,0.8660254037844385,0.6666666666666666,1.0,0.0
59,59,0.0,0.49999999999999933,0.866025403784439,0.8333333333333334,1.0,0.0
