index,pindex,N(0),N(1),N(2),Tex(0),Tex(1),Tex(2)
0,0,-0.06972796065138559,0.9975660436800156,0.0,0.0,0.0,0.0
1,1,-0.06442023568956752,0.9216308500842266,-0.3826834323650898,0.0625,0.0,0.0
2,2,-0.04930511381490351,0.7053857141675747,-0.7071067811865476,0.125,0.0,0.0
3,3,-0.026683735313890164,0.3817519976063315,-0.9238795325112867,0.1875,0.0,0.0
4,4,-4.269606191139598e-18,6.108330311654099e-17,-1.0,0.25,0.0,0.0
5,5,0.026683735313890154,-0.3817519976063314,-0.9238795325112867,0.3125,0.0,0.0
6,6,0.0493051138149035,-0.7053857141675746,-0.7071067811865476,0.375,0.0,0.0
7,7,0.06442023568956752,-0.9216308500842266,-0.3826834323650899,0.4375,0.0,0.0
8,8,0.06972796065138559,-0.9975660436800156,-1.2246467991473532e-16,0.5,0.0,0.0
9,9,0.06442023568956752,-0.9216308500842267,0.38268343236508967,0.5625,0.0,0.0
10,10,0.04930511381490352,-0.7053857141675748,0.7071067811865475,0.625,0.0,0.0
11,11,0.0266837353138902,-0.381751997606332,0.9238795325112865,0.6875,0.0,0.0
12,12,1.2808818573418793e-17,-1.8324990934962295e-16,1.0,0.75,0.0,0.0
13,13,-0.026683735313890174,0.38175199760633166,0.9238795325112866,0.8125,0.0,0.0
14,14,-0.049305113814903496,0.7053857141675745,0.7071067811865477,0.875,0.0,0.0
15,15,-0.0644202356895675,0.9216308500842264,0.3826834323650904,0.9375,0.0,0.0
16,16,-0.0727020173308559,0.9973537069044381,0.0,0.0,0.0010030090270812437,0.0
17,17,-0.06716790578425862,0.9214346764832712,-0.3826834323650898,0.0625,0.0010030090270812437,0.0
18,18,-0.05140808946059012,0.7052355693936686,-0.7071067811865476,0.125,0.0010030090270812437,0.0
19,19,-0.027821857532038186,0.3816707398402362,-0.9238795325112867,0.1875,0.0010030090270812437,0.0
20,20,-4.4517146407894046e-18,6.107030123891338e-17,-1.0,0.25,0.0010030090270812437,0.0
21,21,0.027821857532038176,-0.3816707398402361,-0.9238795325112867,0.3125,0.0010030090270812437,0.0
22,22,0.05140808946059011,-0.7052355693936685,-0.7071067811865476,0.375,0.0010030090270812437,0.0
23,23,0.06716790578425862,-0.9214346764832712,-0.3826834323650899,0.4375,0.0010030090270812437,0.0
24,24,0.0727020173308559,-0.9973537069044381,-1.2246467991473532e-16,0.5,0.0010030090270812437,0.0
25,25,0.06716790578425863,-0.9214346764832713,0.38268343236508967,0.5625,0.0010030090270812437,0.0
26,26,0.051408089460590126,-0.7052355693936687,0.7071067811865475,0.625,0.0010030090270812437,0.0
27,27,0.02782185753203822,-0.3816707398402367,0.9238795325112865,0.6875,0.0010030090270812437,0.0
28,28,1.3355143922368211e-17,-1.8321090371674013e-16,1.0,0.75,0.0010030090270812437,0.0
29,29,-0.027821857532038197,0.38167073984023636,0.9238795325112866,0.8125,0.0010030090270812437,0.0
30,30,-0.0514080894605901,0.7052355693936684,0.7071067811865477,0.875,0.0010030090270812437,0.0
31,31,-0.0671679057842586,0.9214346764832709,0.3826834323650904,0.9375,0.0010030090270812437,0.0
32,32,-0.07831891180377248,0.9969283565301335,0.0,0.0,0.0020060180541624875,0.0
33,33,-0.07235723962406201,0.9210417039783051,-0.3826834323650898,0.0625,0.0020060180541624875,0.0
34,34,-0.055379833631598666,0.7049348012596176,-0.7071067811865476,0.125,0.0020060180541624875,0.0
35,35,-0.029971349988166404,0.3815079652990395,-0.9238795325112867,0.1875,0.0020060180541624875,0.0
36,36,-4.795650232659692e-18,6.104425604019296e-17,-1.0,0.25,0.0020060180541624875,0.0
