index,prim:vindex,pindex,N(0),N(1),N(2),Tex(0),Tex(1),Tex(2)
0,0:0,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0:1,1,-0.03046607559660847,0.5000000000000001,-0.8654893518915999,0.16666666666666666,0.0,0.0
2,0:2,7,-0.044340904825774734,0.5000000000000001,-0.8648895213605212,0.16666666666666666,0.034482758620689655,0.0
3,0:3,6,0.0,1.0,0.0,0.0,0.034482758620689655,0.0
4,1:0,1,-0.03046607559660847,0.5000000000000001,-0.8654893518915999,0.16666666666666666,0.0,0.0
5,1:1,2,-0.030466075596608473,-0.4999999999999998,-0.8654893518916,0.3333333333333333,0.0,0.0
6,1:2,8,-0.04434090482577474,-0.4999999999999998,-0.8648895213605213,0.3333333333333333,0.034482758620689655,0.0
7,1:3,7,-0.044340904825774734,0.5000000000000001,-0.8648895213605212,0.16666666666666666,0.034482758620689655,0.0
8,2:0,2,-0.030466075596608473,-0.4999999999999998,-0.8654893518916,0.3333333333333333,0.0,0.0
9,2:1,3,-4.308208719851212e-18,-1.0,-1.2238887679950649e-16,0.5,0.0,0.0
10,2:2,9,-6.270248762783256e-18,-1.0,-1.2230405474501404e-16,0.5,0.034482758620689655,0.0
11,2:3,8,-0.04434090482577474,-0.4999999999999998,-0.8648895213605213,0.3333333333333333,0.034482758620689655,0.0
12,3:0,3,-4.308208719851212e-18,-1.0,-1.2238887679950649e-16,0.5,0.0,0.0
13,3:1,4,0.030466075596608466,-0.5000000000000004,0.8654893518915998,0.6666666666666666,0.0,0.0
14,3:2,10,0.04434090482577473,-0.5000000000000004,0.8648895213605211,0.6666666666666666,0.034482758620689655,0.0
15,3:3,9,-6.270248762783256e-18,-1.0,-1.2230405474501404e-16,0.5,0.034482758620689655,0.0
16,4:0,4,0.030466075596608466,-0.5000000000000004,0.8654893518915998,0.6666666666666666,0.0,0.0
17,4:1,5,0.030466075596608487,0.49999999999999933,0.8654893518916004,0.8333333333333334,0.0,0.0
18,4:2,11,0.044340904825774755,0.49999999999999933,0.8648895213605217,0.8333333333333334,0.034482758620689655,0.0
19,4:3,10,0.04434090482577473,-0.5000000000000004,0.8648895213605211,0.6666666666666666,0.034482758620689655,0.0
20,5:0,5,0.030466075596608487,0.49999999999999933,0.8654893518916004,0.8333333333333334,0.0,0.0
21,5:1,0,0.0,1.0,0.0,1.0,0.0,0.0
22,5:2,6,0.0,1.0,0.0,1.0,0.034482758620689655,0.0
23,5:3,11,0.044340904825774755,0.49999999999999933,0.8648895213605217,0.8333333333333334,0.034482758620689655,0.0
24,6:0,6,0.0,1.0,0.0,0.0,0.034482758620689655,0.0
25,6:1,7,-0.044340904825774734,0.5000000000000001,-0.8648895213605212,0.16666666666666666,0.034482758620689655,0.0
26,6:2,13,-0.06303115733120426,0.5000000000000001,-0.8637285876972517,0.16666666666666666,0.06896551724137931,0.0
27,6:3,12,0.0,1.0,0.0,0.0,0.06896551724137931,0.0
28,7:0,7,-0.044340904825774734,0.5000000000000001,-0.8648895213605212,0.16666666666666666,0.034482758620689655,0.0
29,7:1,8,-0.04434090482577474,-0.4999999999999998,-0.8648895213605213,0.3333333333333333,0.034482758620689655,0.0
30,7:2,14,-0.06303115733120428,-0.4999999999999998,-0.8637285876972518,0.3333333333333333,0.06896551724137931,0.0
31,7:3,13,-0.06303115733120426,0.5000000000000001,-0.8637285876972517,0.16666666666666666,0.06896551724137931,0.0
32,8:0,8,-0.04434090482577474,-0.4999999999999998,-0.8648895213605213,0.3333333333333333,0.034482758620689655,0.0
33,8:1,9,-6.270248762783256e-18,-1.0,-1.2230405474501404e-16,0.5,0.034482758620689655,0.0
34,8:2,15,-8.913237964486551e-18,-1.0,-1.2213988707873858e-16,0.5,0.06896551724137931,0.0
35,8:3,14,-0.06303115733120428,-0.4999999999999998,-0.8637285876972518,0.3333333333333333,0.06896551724137931,0.0
36,9:0,9,-6.270248762783256e-18,-1.0,-1.2230405474501404e-16,0.5,0.034482758620689655,0.0
37,9:1,10,0.04434090482577473,-0.5000000000000004,0.8648895213605211,0.6666666666666666,0.034482758620689655,0.0
38,9:2,16,0.06303115733120426,-0.5000000000000004,0.8637285876972516,0.6666666666666666,0.06896551724137931,0.0
39,9:3,15,-8.913237964486551e-18,-1.0,-1.2213988707873858e-16,0.5,0.06896551724137931,0.0
40,10:0,10,0.04434090482577473,-0.5000000000000004,0.8648895213605211,0.6666666666666666,0.034482758620689655,0.0
41,10:1,11,0.044340904825774755,0.49999999999999933,0.8648895213605217,0.8333333333333334,0.034482758620689655,0.0
42,10:2,17,0.06303115733120429,0.49999999999999933,0.8637285876972521,0.8333333333333334,0.06896551724137931,0.0
43,10:3,16,0.06303115733120426,-0.5000000000000004,0.8637285876972516,0.6666666666666666,0.06896551724137931,0.0
44,11:0,11,0.044340904825774755,0.49999999999999933,0.8648895213605217,0.8333333333333334,0.034482758620689655,0.0
45,11:1,6,0.0,1.0,0.0,1.0,0.034482758620689655,0.0
46,11:2,12,0.0,1.0,0.0,1.0,0.06896551724137931,0.0
47,11:3,17,0.06303115733120429,0.49999999999999933,0.8637285876972521,0.8333333333333334,0.06896551724137931,0.0
48,12:0,12,0.0,1.0,0.0,0.0,0.06896551724137931,0.0
49,12:1,13,-0.06303115733120426,0.5000000000000001,-0.8637285876972517,0.16666666666666666,0.06896551724137931,0.0
50,12:2,19,-0.06939085467994281,0.5000000000000001,-0.8632409335097514,0.16666666666666666,0.10344827586206896,0.0
51,12:3,18,0.0,1.0,0.0,0.0,0.10344827586206896,0.0
52,13:0,13,-0.06303115733120426,0.5000000000000001,-0.8637285876972517,0.16666666666666666,0.06896551724137931,0.0
53,13:1,14,-0.06303115733120428,-0.4999999999999998,-0.8637285876972518,0.3333333333333333,0.06896551724137931,0.0
54,13:2,20,-0.06939085467994283,-0.4999999999999998,-0.8632409335097515,0.3333333333333333,0.10344827586206896,0.0
55,13:3,19,-0.06939085467994281,0.5000000000000001,-0.8632409335097514,0.16666666666666666,0.10344827586206896,0.0
56,14:0,14,-0.06303115733120428,-0.4999999999999998,-0.8637285876972518,0.3333333333333333,0.06896551724137931,0.0
57,14:1,15,-8.913237964486551e-18,-1.0,-1.2213988707873858e-16,0.5,0.06896551724137931,0.0
58,14:2,21,-9.812562969000756e-18,-1.0,-1.2207092788456216e-16,0.5,0.10344827586206896,0.0
59,14:3,20,-0.06939085467994283,-0.4999999999999998,-0.8632409335097515,0.3333333333333333,0.10344827586206896,0.0
60,15:0,15,-8.913237964486551e-18,-1.0,-1.2213988707873858e-16,0.5,0.06896551724137931,0.0
61,15:1,16,0.06303115733120426,-0.5000000000000004,0.8637285876972516,0.6666666666666666,0.06896551724137931,0.0
62,15:2,22,0.06939085467994281,-0.5000000000000004,0.8632409335097513,0.6666666666666666,0.10344827586206896,0.0
63,15:3,21,-9.812562969000756e-18,-1.0,-1.2207092788456216e-16,0.5,0.10344827586206896,0.0
64,16:0,16,0.06303115733120426,-0.5000000000000004,0.8637285876972516,0.6666666666666666,0.06896551724137931,0.0
65,16:1,17,0.06303115733120429,0.49999999999999933,0.8637285876972521,0.8333333333333334,0.06896551724137931,0.0
66,16:2,23,0.06939085467994285,0.49999999999999933,0.8632409335097518,0.8333333333333334,0.10344827586206896,0.0
67,16:3,22,0.06939085467994281,-0.5000000000000004,0.8632409335097513,0.6666666666666666,0.10344827586206896,0.0
68,17:0,17,0.06303115733120429,0.49999999999999933,0.8637285876972521,0.8333333333333334,0.06896551724137931,0.0
69,17:1,12,0.0,1.0,0.0,1.0,0.06896551724137931,0.0
70,17:2,18,0.0,1.0,0.0,1.0,0.10344827586206896,0.0
