index,type,vertices
0,quad,0 1 7 6
1,quad,1 2 8 7
2,quad,2 3 9 8
3,quad,3 4 10 9
4,quad,4 5 11 10
5,quad,5 0 6 11
6,quad,6 7 13 12
7,quad,7 8 14 13
8,quad,8 9 15 14
9,quad,9 10 16 15
10,quad,10 11 17 16
11,quad,11 6 12 17
12,quad,12 13 19 18
13,quad,13 14 20 19
14,quad,14 15 21 20
15,quad,15 16 22 21
16,quad,16 17 23 22
17,quad,17 12 18 23
18,quad,18 19 25 24
19,quad,19 20 26 25
20,quad,20 21 27 26
21,quad,21 22 28 27
22,quad,22 23 29 28
23,quad,23 18 24 29
24,quad,24 25 31 30
25,quad,25 26 32 31
26,quad,26 27 33 32
27,quad,27 28 34 33
28,quad,28 29 35 34
29,quad,29 24 30 35
30,quad,30 31 37 36
31,quad,31 32 38 37
32,quad,32 33 39 38
33,quad,33 34 40 39
34,quad,34 35 41 40
35,quad,35 30 36 41
36,quad,36 37 43 42
37,quad,37 38 44 43
38,quad,38 39 45 44
39,quad,39 40 46 45
40,quad,40 41 47 46
41,quad,41 36 42 47
42,quad,42 43 49 48
43,quad,43 44 50 49
44,quad,44 45 51 50
45,quad,45 46 52 51
46,quad,46 47 53 52
47,quad,47 42 48 53
48,quad,48 49 55 54
49,quad,49 50 56 55
50,quad,50 51 57 56
51,quad,51 52 58 57
52,quad,52 53 59 58
53,quad,53 48 54 59
